Verb,Speaker,Sentence,Origin,BirthYear,Gender,Race
donn,NF,"La li <VERB>donn</VERB> en BILL, li <VERB>siyen</VERB> en BILL ki li <VERB>donn</VERB> pa konnen (...) milyon pyas, pou galope le UNITED STATES.",Parlange Plantation,1905,Male,Black
siyen,NF,"La li <VERB>donn</VERB> en BILL, li <VERB>siyen</VERB> en BILL ki li <VERB>donn</VERB> pa konnen (...) milyon pyas, pou galope le UNITED STATES.",Parlange Plantation,1905,Male,Black
donn,NF,"La li <VERB>donn</VERB> en BILL, li <VERB>siyen</VERB> en BILL ki li <VERB>donn</VERB> pa konnen (...) milyon pyas, pou galope le UNITED STATES.",Parlange Plantation,1905,Male,Black
pe,NF,"E la li di ki li te gen pou donn le pòv malere djòb tou sa, men li <VERB>pe</VERB> pa fe zafè-sa-y.",Parlange Plantation,1905,Male,Black
va,NF,"Li di l a dòn pa konnen kòman le djòb dan le UNITED STATE, men kan-se le djòb <VERB>va</VERB> dan UNITED STATE, e sa-ki e galope le djòb, si li p ole gaje le nonm, i stil pa ka fe li--- pa ka fe nonm-la gaje le mounn ki li p <VERB>ole</VERB>.",Parlange Plantation,1905,Male,Black
ole,NF,"Li di l a dòn pa konnen kòman le djòb dan le UNITED STATE, men kan-se le djòb <VERB>va</VERB> dan UNITED STATE, e sa-ki e galope le djòb, si li p ole gaje le nonm, i stil pa ka fe li--- pa ka fe nonm-la gaje le mounn ki li p <VERB>ole</VERB>.",Parlange Plantation,1905,Male,Black
vòt,NF,"E le mounn ki <VERB>vòt</VERB> ye <VERB>konpran</VERB> pa sa.",Parlange Plantation,1905,Male,Black
konpran,NF,"E le mounn ki <VERB>vòt</VERB> ye <VERB>konpran</VERB> pa sa.",Parlange Plantation,1905,Male,Black
ka,NF,"A apre kan l a antr andan-an, li pa <VERB>ka</VERB> fe sa li di.",Parlange Plantation,1905,Male,Black
pe,NF,"La motchye ki-chò <VERB>pe</VERB> pa (te fe).",Parlange Plantation,1905,Male,Black
ka,NF,"(...) sèrten ki-cho li <VERB>ka</VERB> fe men pa la majorite.",Parlange Plantation,1905,Male,Black
pel,NF,"Uh, uh, CLINTON, kòman to <VERB>pel</VERB> li la?",Parlange Plantation,1905,Male,Black
ole,NF,"Li p <VERB>ole</VERB> ede le koulè, li p <VERB>ole</VERB> met ye den en HIGHER OFFICE li p <VERB>ole</VERB> met ye den en gro lofis.",Parlange Plantation,1905,Male,Black
ole,NF,"Li p <VERB>ole</VERB> ede le koulè, li p <VERB>ole</VERB> met ye den en HIGHER OFFICE li p <VERB>ole</VERB> met ye den en gro lofis.",Parlange Plantation,1905,Male,Black
ole,NF,"Li p <VERB>ole</VERB> ede le koulè, li p <VERB>ole</VERB> met ye den en HIGHER OFFICE li p <VERB>ole</VERB> met ye den en gro lofis.",Parlange Plantation,1905,Male,Black
ole,NF,"Ka mète l dan lofis-la, l a pran nenpòt sa l <VERB>ole</VERB> andan-n, e l a fe sa l <VERB>ole</VERB>, e l a fe so, <DET>so SALARY</DET>, sa le e fe SO MUCH A MONTH, e dèn li <VERB>ka</VERB> pran sa l <VERB>ole</VERB> andan-l.",Parlange Plantation,1905,Male,Black
ole,NF,"Ka mète l dan lofis-la, l a pran nenpòt sa l <VERB>ole</VERB> andan-n, e l a fe sa l <VERB>ole</VERB>, e l a fe so, <DET>so SALARY</DET>, sa le e fe SO MUCH A MONTH, e dèn li <VERB>ka</VERB> pran sa l <VERB>ole</VERB> andan-l.",Parlange Plantation,1905,Male,Black
vòt,NF,"To <VERB>vòt</VERB>?",Parlange Plantation,1905,Male,Black
pel,NF,"To te konnen tande le pritcha sa ye <VERB>pel</VERB>, uh, gro pritcha ki--- kòman ye <VERB>pel</VERB> li ankò?",Parlange Plantation,1905,Male,Black
va,NF,"Li sòr laba an-o dan l Nò li <VERB>va</VERB> ALL OVER UNITED STATE.",Parlange Plantation,1905,Male,Black
va,NF,"Li <VERB>va</VERB> tou-partou on lo kote, ... dan Alman dan JUMAICA dan FRANCE li <VERB>va</VERB> tou-partou.",Parlange Plantation,1905,Male,Black
va,NF,"Li <VERB>va</VERB> tou-partou on lo kote, ... dan Alman dan JUMAICA dan FRANCE li <VERB>va</VERB> tou-partou.",Parlange Plantation,1905,Male,Black
kwa,NF,"Mo <VERB>kwa</VERB> li la astè.",Parlange Plantation,1905,Male,Black
donn,NF,"Se li ki <VERB>donn</VERB> nouzò tou de pret. ...",Parlange Plantation,1905,Male,Black
ORDAIN,NF,"Kan ye <VERB>ORDAIN</VERB> en pret, li gen kouri lekòl m pa konnen kòmon zannen s--- en pret se en SMART nonm.",Parlange Plantation,1905,Male,Black
gad,NF,"Men en PREACHER se pa parey, kan-se li fe sa-ki mal ye <VERB>gad</VERB> li la men en pret se pa parey.",Parlange Plantation,1905,Male,Black
vyen,NF,"Ena plen de lalijyon ki <VERB>vyen</VERB> isi, ki <VERB>mann</VERB> mon si m <VERB>ole</VERB> JOIN ye, mo di m pa <VERB>kapab</VERB>.",Parlange Plantation,1905,Male,Black
mann,NF,"Ena plen de lalijyon ki <VERB>vyen</VERB> isi, ki <VERB>mann</VERB> mon si m <VERB>ole</VERB> JOIN ye, mo di m pa <VERB>kapab</VERB>.",Parlange Plantation,1905,Male,Black
ole,NF,"Ena plen de lalijyon ki <VERB>vyen</VERB> isi, ki <VERB>mann</VERB> mon si m <VERB>ole</VERB> JOIN ye, mo di m pa <VERB>kapab</VERB>.",Parlange Plantation,1905,Male,Black
kapab,NF,"Ena plen de lalijyon ki <VERB>vyen</VERB> isi, ki <VERB>mann</VERB> mon si m <VERB>ole</VERB> JOIN ye, mo di m pa <VERB>kapab</VERB>.",Parlange Plantation,1905,Male,Black
kapab,NF,"M pa <VERB>kapab</VERB>.",Parlange Plantation,1905,Male,Black
peu,NF,"Men mo <VERB>peu</VERB> pa kite motchenn pou pran totchenn.",Parlange Plantation,1905,Male,Black
mouri,NF,"Èna de lalijyon, ka to <VERB>mouri</VERB>, ye <VERB>bril</VERB> twa.",Parlange Plantation,1905,Male,Black
mouri,NF,"Ka kèlkenn <VERB>mouri</VERB> dan <DET>zo lalijyon</DET>, zo <VERB>vey</VERB> li?",Parlange Plantation,1905,Male,Black
vey,NF,"Ka kèlkenn <VERB>mouri</VERB> dan <DET>zo lalijyon</DET>, zo <VERB>vey</VERB> li?",Parlange Plantation,1905,Male,Black
va,NF,"Ou zo jiz <VERB>va</VERB> tere li?",Parlange Plantation,1905,Male,Black
vey,NF,"(Z)o <VERB>vey</VERB> pa li?",Parlange Plantation,1905,Male,Black
mouri,NF,"Wa nouzò, ka kèkenn <VERB>mouri</VERB>, nou <VERB>vey</VERB> li.",Parlange Plantation,1905,Male,Black
prèch,NF,"Fe de priyè, e le pret, ou le PREACHER, <VERB>prèch</VERB> on ye.",Parlange Plantation,1905,Male,Black
va,NF,"Kan to <VERB>va</VERB> kote UNDERTAKER SHOP, ye <VERB>dòn</VERB> twa la chans pou veye ichka diz-è, apre diz-è, ye <VERB>frenm</VEB> li.",Parlange Plantation,1905,Male,Black
dòn,NF,"Kan to <VERB>va</VERB> kote UNDERTAKER SHOP, ye <VERB>dòn</VERB> twa la chans pou veye ichka diz-è, apre diz-è, ye <VERB>frenm</VEB> li.",Parlange Plantation,1905,Male,Black
frenm</VEB> li.,NF,"Kan to <VERB>va</VERB> kote UNDERTAKER SHOP, ye <VERB>dòn</VERB> twa la chans pou veye ichka diz-è, apre diz-è, ye <VERB>frenm</VEB> li.",Parlange Plantation,1905,Male,Black
rapel,NF,"Non, m pa <VERB>rapel</VERB>.",Parlange Plantation,1905,Male,Black
