Verb,Short,Stative,Speaker,Sentence,Origin,BirthYear,Gender,Race,Citation
gen,No,Yes,NF,E ouzò <VERB>gen</VERB> en legliz ao zo <VERB>va</VERB>?,Parlange Plantation,1905,Male,Black,gen
va,Yes,No,NF,E ouzò <VERB>gen</VERB> en legliz ao zo <VERB>va</VERB>?,Parlange Plantation,1905,Male,Black,kouri
gen,No,Yes,NF,"Zo <VERB>gen</VERB> en PREACHER o en pret, kèk-chòj pou di ouzò la lijyon e tou?",Parlange Plantation,1905,Male,Black,gen
kwa,Yes,Yes,NF,Ouzò <VERB>kwa</VERB> kan ouzò <VERB>mouri</VERB> zo <VERB>gen</VERB> en nanm dan <DET>zo kò</DET> pou sòti pou kouri an lè?,Parlange Plantation,1905,Male,Black,krwaye
mouri,No,No,NF,Ouzò <VERB>kwa</VERB> kan ouzò <VERB>mouri</VERB> zo <VERB>gen</VERB> en nanm dan <DET>zo kò</DET> pou sòti pou kouri an lè?,Parlange Plantation,1905,Male,Black,mouri
gen,No,Yes,NF,Ouzò <VERB>kwa</VERB> kan ouzò <VERB>mouri</VERB> zo <VERB>gen</VERB> en nanm dan <DET>zo kò</DET> pou sòti pou kouri an lè?,Parlange Plantation,1905,Male,Black,gen
BELIEVE,NA,Yes,NF,Zò <VERB>BELIEVE</VERB> dan sa?,Parlange Plantation,1905,Male,Black,BELIEVE
krwa,Yes,Yes,NF,Zò <VERB>krwa</VERB> dan sa?,Parlange Plantation,1905,Male,Black,krwaye
kwa,Yes,Yes,NF,"Wa nouzò, le Bæbtis, (ye) tou <VERB>kwa</VERB>, ye <VERB>gen</VERB> pret ou en PREACHER, ki <VERB>PREACH</VERB> pou di ye, fe de priyè pou kouri dan le bon plas e fe sa-ki ben, pa fe aryen ki mal.",Parlange Plantation,1905,Male,Black,krwaye
gen,No,Yes,NF,E ouzò <VERB>gen</VERB> en legliz?,Parlange Plantation,1905,Male,Black,gen
gen,No,Yes,NF,Sa <VERB>gen</VERB> plen de MEMBER?,Parlange Plantation,1905,Male,Black,gen
pey,Yes,No,NF,"Zo <VERB>pey</VERB> SO MUCH pou--- ki-moun zò <VERB>pey</VERB> pou, tchòmbo legliz-la?",Parlange Plantation,1905,Male,Black,peye
pey,Yes,No,NF,"Zo <VERB>pey</VERB> SO MUCH pou--- ki-moun zò <VERB>pey</VERB> pou, tchòmbo legliz-la?",Parlange Plantation,1905,Male,Black,peye
gen,No,Yes,NF,Zo <VERB>gen</VERB> en pret ou en PREACH---,Parlange Plantation,1905,Male,Black,gen
gen,No,Yes,NF,Isi nou <VERB>gen</VERB> en pret.,Parlange Plantation,1905,Male,Black,gen
min,NA,Yes,NF,"La ket sa <VERB>min</VERB> pou donn larjan dan la ket-la, pou ède li pou fe <DET>so lavi</DET>.",Parlange Plantation,1905,Male,Black,min
va,Yes,No,NF,"Blan-ye tou <VERB>va</VERB> ye tou-sel, e koulè-ye <VERB>va</VERB> ye tou-sel.",Parlange Plantation,1905,Male,Black,kouri
va,Yes,No,NF,"Blan-ye tou <VERB>va</VERB> ye tou-sel, e koulè-ye <VERB>va</VERB> ye tou-sel.",Parlange Plantation,1905,Male,Black,kouri
va,Yes,No,NF,"Men dan Leklenn, koulè e blan tou <VERB>va</VERB> ansanm paski ye <VERB>gen</VERB> j en legliz la.",Parlange Plantation,1905,Male,Black,kouri
gen,No,Yes,NF,"Men dan Leklenn, koulè e blan tou <VERB>va</VERB> ansanm paski ye <VERB>gen</VERB> j en legliz la.",Parlange Plantation,1905,Male,Black,gen
asi,Yes,No,NF,Ye tou <VERB>asi</VERB> asanm.,Parlange Plantation,1905,Male,Black,asit
rapèl,Yes,No,NF,"O wè, mo <VERB>rapèl</VERB> kan nou te peu, pe pa kouri asi ave blan-ye.",Parlange Plantation,1905,Male,Black,rapele
va,Yes,No,NF,"Fe de fèr, tou-mounn <VERB>va</VERB> la.",Parlange Plantation,1905,Male,Black,kouri
gen,No,Yes,NF,Jodi le nwa <VERB>gen</VERB> nèf mwa lekòl parey konm de blan.,Parlange Plantation,1905,Male,Black,gen
gen,No,Yes,NF,Le nwar <VERB>gen</VERB> nèf mwa lekòl le blan <VERB>gen</VERB> nèf mwa.,Parlange Plantation,1905,Male,Black,gen
gen,No,Yes,NF,Le nwar <VERB>gen</VERB> nèf mwa lekòl le blan <VERB>gen</VERB> nèf mwa.,Parlange Plantation,1905,Male,Black,gen
va,Yes,No,NF,E ye tou <VERB>va</VERB> ansanm dan mèm lekòl.,Parlange Plantation,1905,Male,Black,kouri
vòt,Yes,No,NF,"Men jòrdi le koulè (z|l)avoka, e ye konnen la lwa e ye <VERB>vòt</VERB>, tou-ki-cho.",Parlange Plantation,1905,Male,Black,vòte
lèm,Yes,Yes,NF,"O wè, to <VERB>lèm</VERB> dèmokrat.",Parlange Plantation,1905,Male,Black,lenme
kwa,Yes,Yes,NF,"Sa to <VERB>kwa</VERB> pou le prezidan nou <VERB>gen</VERB> astè, ki kalite boug, to <VERB>kwa</VERB> sè en bon boug, sa?",Parlange Plantation,1905,Male,Black,krwaye
gen,No,Yes,NF,"Sa to <VERB>kwa</VERB> pou le prezidan nou <VERB>gen</VERB> astè, ki kalite boug, to <VERB>kwa</VERB> sè en bon boug, sa?",Parlange Plantation,1905,Male,Black,gen
kwa,Yes,Yes,NF,"Sa to <VERB>kwa</VERB> pou le prezidan nou <VERB>gen</VERB> astè, ki kalite boug, to <VERB>kwa</VERB> sè en bon boug, sa?",Parlange Plantation,1905,Male,Black,krwaye
dòn,Yes,No,NF,WELL li <VERB>dòn</VERB> tro bokou le promès.,Parlange Plantation,1905,Male,Black,donne
kapab,No,Yes,NF,E li pa <VERB>kapab</VERB> FILL li promes.,Parlange Plantation,1905,Male,Black,kapab
kapab,No,Yes,NF,Li pa <VERB>kapab</VERB> donn le promes sa li di le mounn ki li te gen pou fe.,Parlange Plantation,1905,Male,Black,kapab
pe,Yes,Yes,NF,"E en nonm <VERB>pe</VERB> pa fe la lwa li tou-sel, sa gen kouri THROUGH le kongres.",Parlange Plantation,1905,Male,Black,kapab
donn,Yes,No,NF,"La li <VERB>donn</VERB> en BILL, li <VERB>siyen</VERB> en BILL ki li <VERB>donn</VERB> pa konnen (...) milyon pyas, pou galope le UNITED STATES.",Parlange Plantation,1905,Male,Black,donne
siyen,No,No,NF,"La li <VERB>donn</VERB> en BILL, li <VERB>siyen</VERB> en BILL ki li <VERB>donn</VERB> pa konnen (...) milyon pyas, pou galope le UNITED STATES.",Parlange Plantation,1905,Male,Black,siyen
donn,Yes,No,NF,"La li <VERB>donn</VERB> en BILL, li <VERB>siyen</VERB> en BILL ki li <VERB>donn</VERB> pa konnen (...) milyon pyas, pou galope le UNITED STATES.",Parlange Plantation,1905,Male,Black,donne
pe,Yes,Yes,NF,"E la li di ki li te gen pou donn le pòv malere djòb tou sa, men li <VERB>pe</VERB> pa fe zafè-sa-y.",Parlange Plantation,1905,Male,Black,kapab
va,Yes,No,NF,"Li di l a dòn pa konnen kòman le djòb dan le UNITED STATE, men kan-se le djòb <VERB>va</VERB> dan UNITED STATE, e sa-ki e galope le djòb, si li p ole gaje le nonm, i stil pa ka fe li--- pa ka fe nonm-la gaje le mounn ki li p <VERB>ole</VERB>.",Parlange Plantation,1905,Male,Black,kouri
ole,No,Yes,NF,"Li di l a dòn pa konnen kòman le djòb dan le UNITED STATE, men kan-se le djòb <VERB>va</VERB> dan UNITED STATE, e sa-ki e galope le djòb, si li p ole gaje le nonm, i stil pa ka fe li--- pa ka fe nonm-la gaje le mounn ki li p <VERB>ole</VERB>.",Parlange Plantation,1905,Male,Black,ole
vòt,Yes,No,NF,E le mounn ki <VERB>vòt</VERB> ye <VERB>konpran</VERB> pa sa.,Parlange Plantation,1905,Male,Black,vòte
konpran,Yes,Yes,NF,E le mounn ki <VERB>vòt</VERB> ye <VERB>konpran</VERB> pa sa.,Parlange Plantation,1905,Male,Black,konprann
ka,Yes,Yes,NF,"A apre kan l a antr andan-an, li pa <VERB>ka</VERB> fe sa li di.",Parlange Plantation,1905,Male,Black,kapab
pe,Yes,Yes,NF,La motchye ki-chò <VERB>pe</VERB> pa (te fe).,Parlange Plantation,1905,Male,Black,kapab
ka,Yes,Yes,NF,(...) sèrten ki-cho li <VERB>ka</VERB> fe men pa la majorite.,Parlange Plantation,1905,Male,Black,kapab
pel,Yes,No,NF,"Uh, uh, CLINTON, kòman to <VERB>pel</VERB> li la?",Parlange Plantation,1905,Male,Black,pele
ole,No,Yes,NF,"Li p <VERB>ole</VERB> ede le koulè, li p <VERB>ole</VERB> met ye den en HIGHER OFFICE li p <VERB>ole</VERB> met ye den en gro lofis.",Parlange Plantation,1905,Male,Black,ole
ole,No,Yes,NF,"Li p <VERB>ole</VERB> ede le koulè, li p <VERB>ole</VERB> met ye den en HIGHER OFFICE li p <VERB>ole</VERB> met ye den en gro lofis.",Parlange Plantation,1905,Male,Black,ole
ole,No,Yes,NF,"Li p <VERB>ole</VERB> ede le koulè, li p <VERB>ole</VERB> met ye den en HIGHER OFFICE li p <VERB>ole</VERB> met ye den en gro lofis.",Parlange Plantation,1905,Male,Black,ole
ole,No,Yes,NF,"Ka mète l dan lofis-la, l a pran nenpòt sa l <VERB>ole</VERB> andan-n, e l a fe sa l <VERB>ole</VERB>, e l a fe so, <DET>so SALARY</DET>, sa le e fe SO MUCH A MONTH, e dèn li <VERB>ka</VERB> pran sa l <VERB>ole</VERB> andan-l.",Parlange Plantation,1905,Male,Black,ole
ole,No,Yes,NF,"Ka mète l dan lofis-la, l a pran nenpòt sa l <VERB>ole</VERB> andan-n, e l a fe sa l <VERB>ole</VERB>, e l a fe so, <DET>so SALARY</DET>, sa le e fe SO MUCH A MONTH, e dèn li <VERB>ka</VERB> pran sa l <VERB>ole</VERB> andan-l.",Parlange Plantation,1905,Male,Black,ole
vòt,Yes,No,NF,To <VERB>vòt</VERB>?,Parlange Plantation,1905,Male,Black,vòte
pel,Yes,No,NF,"To te konnen tande le pritcha sa ye <VERB>pel</VERB>, uh, gro pritcha ki--- kòman ye <VERB>pel</VERB> li ankò?",Parlange Plantation,1905,Male,Black,pele
va,Yes,No,NF,Li sòr laba an-o dan l Nò li <VERB>va</VERB> ALL OVER UNITED STATE.,Parlange Plantation,1905,Male,Black,kouri
va,Yes,No,NF,"Li <VERB>va</VERB> tou-partou on lo kote, ... dan Alman dan JUMAICA dan FRANCE li <VERB>va</VERB> tou-partou.",Parlange Plantation,1905,Male,Black,kouri
va,Yes,No,NF,"Li <VERB>va</VERB> tou-partou on lo kote, ... dan Alman dan JUMAICA dan FRANCE li <VERB>va</VERB> tou-partou.",Parlange Plantation,1905,Male,Black,kouri
kwa,Yes,Yes,NF,Mo <VERB>kwa</VERB> li la astè.,Parlange Plantation,1905,Male,Black,krwaye
donn,Yes,No,NF,Se li ki <VERB>donn</VERB> nouzò tou de pret. ...,Parlange Plantation,1905,Male,Black,donne
ORDAIN,NA,No,NF,"Kan ye <VERB>ORDAIN</VERB> en pret, li gen kouri lekòl m pa konnen kòmon zannen s--- en pret se en SMART nonm.",Parlange Plantation,1905,Male,Black,ORDAIN
gad,Yes,No,NF,"Men en PREACHER se pa parey, kan-se li fe sa-ki mal ye <VERB>gad</VERB> li la men en pret se pa parey.",Parlange Plantation,1905,Male,Black,gade
vyen,Yes,No,NF,"Ena plen de lalijyon ki <VERB>vyen</VERB> isi, ki <VERB>mann</VERB> mon si m <VERB>ole</VERB> JOIN ye, mo di m pa <VERB>kapab</VERB>.",Parlange Plantation,1905,Male,Black,vini
mann,Yes,No,NF,"Ena plen de lalijyon ki <VERB>vyen</VERB> isi, ki <VERB>mann</VERB> mon si m <VERB>ole</VERB> JOIN ye, mo di m pa <VERB>kapab</VERB>.",Parlange Plantation,1905,Male,Black,mannde
ole,No,Yes,NF,"Ena plen de lalijyon ki <VERB>vyen</VERB> isi, ki <VERB>mann</VERB> mon si m <VERB>ole</VERB> JOIN ye, mo di m pa <VERB>kapab</VERB>.",Parlange Plantation,1905,Male,Black,ole
kapab,No,Yes,NF,"Ena plen de lalijyon ki <VERB>vyen</VERB> isi, ki <VERB>mann</VERB> mon si m <VERB>ole</VERB> JOIN ye, mo di m pa <VERB>kapab</VERB>.",Parlange Plantation,1905,Male,Black,kapab
kapab,No,Yes,NF,M pa <VERB>kapab</VERB>.,Parlange Plantation,1905,Male,Black,kapab
peu,Yes,Yes,NF,Men mo <VERB>peu</VERB> pa kite motchenn pou pran totchenn.,Parlange Plantation,1905,Male,Black,kapab
mouri,No,No,NF,"Èna de lalijyon, ka to <VERB>mouri</VERB>, ye <VERB>bril</VERB> twa.",Parlange Plantation,1905,Male,Black,mouri
mouri,No,No,NF,"Ka kèlkenn <VERB>mouri</VERB> dan <DET>zo lalijyon</DET>, zo <VERB>vey</VERB> li?",Parlange Plantation,1905,Male,Black,mouri
vey,Yes,No,NF,"Ka kèlkenn <VERB>mouri</VERB> dan <DET>zo lalijyon</DET>, zo <VERB>vey</VERB> li?",Parlange Plantation,1905,Male,Black,veye
va,Yes,No,NF,Ou zo jiz <VERB>va</VERB> tere li?,Parlange Plantation,1905,Male,Black,kouri
vey,Yes,No,NF,(Z)o <VERB>vey</VERB> pa li?,Parlange Plantation,1905,Male,Black,veye
mouri,No,No,NF,"Wa nouzò, ka kèkenn <VERB>mouri</VERB>, nou <VERB>vey</VERB> li.",Parlange Plantation,1905,Male,Black,mouri
prèch,Yes,No,NF,"Fe de priyè, e le pret, ou le PREACHER, <VERB>prèch</VERB> on ye.",Parlange Plantation,1905,Male,Black,prèche
va,Yes,No,NF,"Kan to <VERB>va</VERB> kote UNDERTAKER SHOP, ye <VERB>dòn</VERB> twa la chans pou veye ichka diz-è, apre diz-è, ye <VERB>frenm</VERB> li.",Parlange Plantation,1905,Male,Black,kouri
dòn,Yes,No,NF,"Kan to <VERB>va</VERB> kote UNDERTAKER SHOP, ye <VERB>dòn</VERB> twa la chans pou veye ichka diz-è, apre diz-è, ye <VERB>frenm</VERB> li.",Parlange Plantation,1905,Male,Black,donne
frenm,Yes,No,NF,"Kan to <VERB>va</VERB> kote UNDERTAKER SHOP, ye <VERB>dòn</VERB> twa la chans pou veye ichka diz-è, apre diz-è, ye <VERB>frenm</VERB> li.",Parlange Plantation,1905,Male,Black,frenme
rapel,Yes,No,NF,"Non, m pa <VERB>rapel</VERB>.",Parlange Plantation,1905,Male,Black,rapele
