Verb,Speaker,Sentence,Origin,BirthYear,Gender,Race
trouv,YC,"Men mo stil <VERB>trouv</VERB> sa te pa ase fòr pou mon.",Ventress,1909,Female,Black
ole,YC,"Sa-fe mo di 'M a pran katolik paskeu m <VERB>ole</VERB> donse.'",Ventress,1909,Female,Black
ka,YC,"Mo kantinu wa, mo kouri kote katolik, pær-la ka mo vini pou ontre, (la) mo te (den en) lachez mo vini pou asi on la chez la i di mo, 'To pa <VERB>ka</VERB> (asi an-o l).'",Ventress,1909,Female,Black
son,YC,"E mo <VERB>son</VERB> mo-mèm byen.",Ventress,1909,Female,Black
gen,YC,"AND I DON'T--- AND I DON'T HAVE--- mo <VERB>gen</VERB> pa tro doulè non-plu.",Ventress,1909,Female,Black
gen,JL,"Li <VERB>gen</VERB> FALSE TEETH.",Ventress,1913,Female,Black
ole,YC,"<DET>Mo piti-ye</DET> p <VERB>ole</VERB> mo rèste mo tou-sel.",Ventress,1909,Female,Black
trakas,JL,"Mhm, pèrsòn <VERB>trakas</VERB> pa li.",Ventress,1913,Female,Black
san,YC,"Mo di ye, mo di ye, tan ki mo <VERB>san</VERB> mo-menm byen, mo pa malad, mo di",Ventress,1909,Female,Black
ka,YC,"Mo pa <VERB>ka</VERB> rèste la mo tou-sel.",Ventress,1909,Female,Black
pran,YC,"Aben mo fe <DET>mo lapat dipen</DET> epi mo <VERB>pran</VERB> <DET>mo lavyann</DET>, mo <VERB>moule</VERB> <DET>mo lavyann</DET> epi mo, mo <VERB>pase</VERB> li e, (...) en pe, e la mo <VERB>mèt</VERB> li ant e la mo, <VERB>BAKE</VERB> li.",Ventress,1909,Female,Black
moule,YC,"Aben mo fe <DET>mo lapat dipen</DET> epi mo <VERB>pran</VERB> <DET>mo lavyann</DET>, mo <VERB>moule</VERB> <DET>mo lavyann</DET> epi mo, mo <VERB>pase</VERB> li e, (...) en pe, e la mo <VERB>mèt</VERB> li ant e la mo, <VERB>BAKE</VERB> li.",Ventress,1909,Female,Black
pase,YC,"Aben mo fe <DET>mo lapat dipen</DET> epi mo <VERB>pran</VERB> <DET>mo lavyann</DET>, mo <VERB>moule</VERB> <DET>mo lavyann</DET> epi mo, mo <VERB>pase</VERB> li e, (...) en pe, e la mo <VERB>mèt</VERB> li ant e la mo, <VERB>BAKE</VERB> li.",Ventress,1909,Female,Black
mèt,YC,"Aben mo fe <DET>mo lapat dipen</DET> epi mo <VERB>pran</VERB> <DET>mo lavyann</DET>, mo <VERB>moule</VERB> <DET>mo lavyann</DET> epi mo, mo <VERB>pase</VERB> li e, (...) en pe, e la mo <VERB>mèt</VERB> li ant e la mo, <VERB>BAKE</VERB> li.",Ventress,1909,Female,Black
BAKE,YC,"Aben mo fe <DET>mo lapat dipen</DET> epi mo <VERB>pran</VERB> <DET>mo lavyann</DET>, mo <VERB>moule</VERB> <DET>mo lavyann</DET> epi mo, mo <VERB>pase</VERB> li e, (...) en pe, e la mo <VERB>mèt</VERB> li ant e la mo, <VERB>BAKE</VERB> li.",Ventress,1909,Female,Black
mèt,YC,"Aben, mo, mo <VERB>mèt</VERB> <DET>mo iskek</DET>, mo <VERB>mèt</VERB> <DET>mo dolo</DET>, mo <VERB>mèt</VERB> <DET>mo disel</DET>, e la mo <VERB>pran</VERB> <DET>mo farin</DET> mo, mo fe li vini di e mo farin.",Ventress,1909,Female,Black
mèt,YC,"Aben, mo, mo <VERB>mèt</VERB> <DET>mo iskek</DET>, mo <VERB>mèt</VERB> <DET>mo dolo</DET>, mo <VERB>mèt</VERB> <DET>mo disel</DET>, e la mo <VERB>pran</VERB> <DET>mo farin</DET> mo, mo fe li vini di e mo farin.",Ventress,1909,Female,Black
mèt,YC,"Aben, mo, mo <VERB>mèt</VERB> <DET>mo iskek</DET>, mo <VERB>mèt</VERB> <DET>mo dolo</DET>, mo <VERB>mèt</VERB> <DET>mo disel</DET>, e la mo <VERB>pran</VERB> <DET>mo farin</DET> mo, mo fe li vini di e mo farin.",Ventress,1909,Female,Black
pran,YC,"Aben, mo, mo <VERB>mèt</VERB> <DET>mo iskek</DET>, mo <VERB>mèt</VERB> <DET>mo dolo</DET>, mo <VERB>mèt</VERB> <DET>mo disel</DET>, e la mo <VERB>pran</VERB> <DET>mo farin</DET> mo, mo fe li vini di e mo farin.",Ventress,1909,Female,Black
pran,YC,"To <VERB>pran</VERB> iskek e <VERB>mèt</VERB> li e <DET>to farin mai</DET> e <DET>to dolo</DET> to <VERB>ka</VERB> fe iskek.",Ventress,1909,Female,Black
mèt,YC,"To <VERB>pran</VERB> iskek e <VERB>mèt</VERB> li e <DET>to farin mai</DET> e <DET>to dolo</DET> to <VERB>ka</VERB> fe iskek.",Ventress,1909,Female,Black
ka,YC,"To <VERB>pran</VERB> iskek e <VERB>mèt</VERB> li e <DET>to farin mai</DET> e <DET>to dolo</DET> to <VERB>ka</VERB> fe iskek.",Ventress,1909,Female,Black
ka,YC,"E la li te, aben, par marye, aben nou marye, aben mo di li, 'To pa <VERB>ka</VERB> rèste konm sa.'",Ventress,1909,Female,Black
gen,YC,"Dan le--- dan legliz kan nou <VERB>gen</VERB>, kan nou <VERB>gen</VERB> <DET>nou lames</DET>, mon sen en gro, (SHOUT FOR JOY) osi.",Ventress,1909,Female,Black
mont,YC,"Mo, mo <VERB>mont</VERB> on planche-le e mo <VERB>SHOUT</VERB>.",Ventress,1909,Female,Black
SHOUT,YC,"Mo, mo <VERB>mont</VERB> on planche-le e mo <VERB>SHOUT</VERB>.",Ventress,1909,Female,Black
ka,YC,"E mo <VERB>ka</VERB> SHOUT osi.",Ventress,1909,Female,Black
tanm,JL,"Se kan to, se kan to po--- to <VERB>tanm</VERB> malad.",Ventress,1913,Female,Black
mouri,YC,"E ka to <VERB>mouri</VERB>.",Ventress,1909,Female,Black
mouri,JL,"E kan to <VERB>mouri</VERB>, e <DET>to lasosyete</DET> se li ki, k <VERB>antær</VERB> twa, la, li <VERB>gen</VERB> larjan pou antère twa.",Ventress,1913,Female,Black
gen,JL,"Wè, nou stil <VERB>gen</VERB> la sosyète.",Ventress,1913,Female,Black
gen,JL,"Nou stil <VERB>gen</VERB> plen la sosyete.",Ventress,1913,Female,Black
gen,JL,"Nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> SONS AND DAUGHTER, nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> YOUNG MAN.",Ventress,1913,Female,Black
pel,JL,"Nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> SONS AND DAUGHTER, nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> YOUNG MAN.",Ventress,1913,Female,Black
gen,JL,"Nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> SONS AND DAUGHTER, nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> YOUNG MAN.",Ventress,1913,Female,Black
pel,JL,"Nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> SONS AND DAUGHTER, nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> YOUNG MAN.",Ventress,1913,Female,Black
gen,JL,"E nou <VERB>gen</VERB> enn to <VERB>pel</VERB> YOUNG VIDALIA, e nou <VERB>gen</VERB> enn to <VERB>pel</VERB>, uh---",Ventress,1913,Female,Black
pel,JL,"E nou <VERB>gen</VERB> enn to <VERB>pel</VERB> YOUNG VIDALIA, e nou <VERB>gen</VERB> enn to <VERB>pel</VERB>, uh---",Ventress,1913,Female,Black
gen,JL,"E nou <VERB>gen</VERB> enn to <VERB>pel</VERB> YOUNG VIDALIA, e nou <VERB>gen</VERB> enn to <VERB>pel</VERB>, uh---",Ventress,1913,Female,Black
pel,JL,"E nou <VERB>gen</VERB> enn to <VERB>pel</VERB> YOUNG VIDALIA, e nou <VERB>gen</VERB> enn to <VERB>pel</VERB>, uh---",Ventress,1913,Female,Black
dòn,JL,"Ye <VERB>dòn</VERB> ye doktè e medikòmon.",Ventress,1913,Female,Black
gen,JL,"Aben mo pa konnen, ina, m pa konnen, uh, bokou blan ki <VERB>gen</VERB> sa.",Ventress,1913,Female,Black
gen,JL,"Se jus zafèr nwar <VERB>gen</VERB>, uhuh, wè.",Ventress,1913,Female,Black
gen,JL,"Paske ye <VERB>gen</VERB> la, blan-ye <VERB>gen</VERB> lasirons.",Ventress,1913,Female,Black
gen,JL,"Paske ye <VERB>gen</VERB> la, blan-ye <VERB>gen</VERB> lasirons.",Ventress,1913,Female,Black
gen,JL,"Ye <VERB>gen</VERB> lasirons.",Ventress,1913,Female,Black
kwa,YC,"Mo <VERB>kwa</VERB> sè te tro du.",Ventress,1909,Female,Black
pel,JL,"Sa ye <VERB>pel</VERB> en kolòm.",Ventress,1913,Female,Black
