Verb,Short,Stative,Speaker,Sentence,Origin,BirthYear,Gender,Race,Citation
gen,No,Yes,JL,"Non, ye po osi mal, paske, nou <VERB>gen</VERB> plus la libèrte, ke, nou te gen bæ--- laba dèryè.",Ventress,1913,Female,Black,gen
travay,Yes,No,JL,"Kan nou <VERB>travay</VERB> ye <VERB>pey</VERB>, ye gen peye nouzò.",Ventress,1913,Female,Black,travaye
pey,Yes,No,JL,"Kan nou <VERB>travay</VERB> ye <VERB>pey</VERB>, ye gen peye nouzò.",Ventress,1913,Female,Black,peye
kapab,No,Yes,JL,"(...) E, nou <VERB>kapab</VERB> achte, la tè, nou <VERB>ka</VERB> achte la mezon, AND THINGS LIKE THAT.",Ventress,1913,Female,Black,kapab
ka,Yes,Yes,JL,"(...) E, nou <VERB>kapab</VERB> achte, la tè, nou <VERB>ka</VERB> achte la mezon, AND THINGS LIKE THAT.",Ventress,1913,Female,Black,kapab
gen,No,Yes,JL,Ni-pye se kan to pa <VERB>gen</VERB> souye an to pye.,Ventress,1913,Female,Black,gen
krwa,Yes,Yes,YC,"Dezèf sè te mo <VERB>krwa</VERB> THIRTY CENTS A, A DOZEN, e nou ka, ma--- men <DET>mon poul-ye</DET> te e ponn dan s tan-sa-la.",Ventress,1909,Female,Black,krwaye
BELIEVE,NA,Yes,JL,Vou <VERB>BELIEVE</VERB> andan Bondjè?,Ventress,1913,Female,Black,BELIEVE
BELIEVE,NA,Yes,JL,Vou <VERB>BELIEVE</VERB> dan Bondjè?,Ventress,1913,Female,Black,BELIEVE
min,NA,Yes,JL,Sa <VERB>min</VERB> li è s--- sèr---,Ventress,1913,Female,Black,min
pel,Yes,No,YC,"Ye, <VERB>pel</VERB> li paradi.",Ventress,1909,Female,Black,pele
krwa,Yes,Yes,YC,"Mo mo <VERB>krwa</VERB>, mo <VERB>krwa</VERB> dan---",Ventress,1909,Female,Black,krwaye
va,Yes,No,JL,Nou <VERB>va</VERB> kote legliz katolik!,Ventress,1913,Female,Black,kouri
trouv,Yes,No,YC,Men mo stil <VERB>trouv</VERB> sa te pa ase fòr pou mon.,Ventress,1909,Female,Black,trouve
ole,No,Yes,YC,Sa-fe mo di 'M a pran katolik paskeu m <VERB>ole</VERB> donse.',Ventress,1909,Female,Black,ole
ka,Yes,Yes,YC,"Mo kantinu wa, mo kouri kote katolik, pær-la ka mo vini pou ontre, (la) mo te (den en) lachez mo vini pou asi on la chez la i di mo, 'To pa <VERB>ka</VERB> (asi an-o l).'",Ventress,1909,Female,Black,kapab
son,Yes,Yes,YC,E mo <VERB>son</VERB> mo-mèm byen.,Ventress,1909,Female,Black,son
gen,No,Yes,YC,AND I DON'T--- AND I DON'T HAVE--- mo <VERB>gen</VERB> pa tro doulè non-plu.,Ventress,1909,Female,Black,gen
gen,No,Yes,JL,Li <VERB>gen</VERB> FALSE TEETH.,Ventress,1913,Female,Black,gen
ole,No,Yes,YC,<DET>Mo piti-ye</DET> p <VERB>ole</VERB> mo rèste mo tou-sel.,Ventress,1909,Female,Black,ole
trakas,Yes,No,JL,"Mhm, pèrsòn <VERB>trakas</VERB> pa li.",Ventress,1913,Female,Black,trakase
san,Yes,Yes,YC,"Mo di ye, mo di ye, tan ki mo <VERB>san</VERB> mo-menm byen, mo pa malad, mo di",Ventress,1909,Female,Black,son
ka,Yes,Yes,YC,Mo pa <VERB>ka</VERB> rèste la mo tou-sel.,Ventress,1909,Female,Black,kapab
pran,Yes,No,YC,"Aben mo fe <DET>mo lapat dipen</DET> epi mo <VERB>pran</VERB> <DET>mo lavyann</DET>, mo <VERB>moule</VERB> <DET>mo lavyann</DET> epi mo, mo <VERB>pase</VERB> li e, (...) en pe, e la mo <VERB>mèt</VERB> li ant e la mo, <VERB>BAKE</VERB> li.",Ventress,1909,Female,Black,prann
moule,No,No,YC,"Aben mo fe <DET>mo lapat dipen</DET> epi mo <VERB>pran</VERB> <DET>mo lavyann</DET>, mo <VERB>moule</VERB> <DET>mo lavyann</DET> epi mo, mo <VERB>pase</VERB> li e, (...) en pe, e la mo <VERB>mèt</VERB> li ant e la mo, <VERB>BAKE</VERB> li.",Ventress,1909,Female,Black,moule
pase,No,No,YC,"Aben mo fe <DET>mo lapat dipen</DET> epi mo <VERB>pran</VERB> <DET>mo lavyann</DET>, mo <VERB>moule</VERB> <DET>mo lavyann</DET> epi mo, mo <VERB>pase</VERB> li e, (...) en pe, e la mo <VERB>mèt</VERB> li ant e la mo, <VERB>BAKE</VERB> li.",Ventress,1909,Female,Black,pase
mèt,No,No,YC,"Aben mo fe <DET>mo lapat dipen</DET> epi mo <VERB>pran</VERB> <DET>mo lavyann</DET>, mo <VERB>moule</VERB> <DET>mo lavyann</DET> epi mo, mo <VERB>pase</VERB> li e, (...) en pe, e la mo <VERB>mèt</VERB> li ant e la mo, <VERB>BAKE</VERB> li.",Ventress,1909,Female,Black,mete
BAKE,NA,No,YC,"Aben mo fe <DET>mo lapat dipen</DET> epi mo <VERB>pran</VERB> <DET>mo lavyann</DET>, mo <VERB>moule</VERB> <DET>mo lavyann</DET> epi mo, mo <VERB>pase</VERB> li e, (...) en pe, e la mo <VERB>mèt</VERB> li ant e la mo, <VERB>BAKE</VERB> li.",Ventress,1909,Female,Black,BAKE
mèt,No,No,YC,"Aben, mo, mo <VERB>mèt</VERB> <DET>mo iskek</DET>, mo <VERB>mèt</VERB> <DET>mo dolo</DET>, mo <VERB>mèt</VERB> <DET>mo disel</DET>, e la mo <VERB>pran</VERB> <DET>mo farin</DET> mo, mo fe li vini di e mo farin.",Ventress,1909,Female,Black,mete
mèt,No,No,YC,"Aben, mo, mo <VERB>mèt</VERB> <DET>mo iskek</DET>, mo <VERB>mèt</VERB> <DET>mo dolo</DET>, mo <VERB>mèt</VERB> <DET>mo disel</DET>, e la mo <VERB>pran</VERB> <DET>mo farin</DET> mo, mo fe li vini di e mo farin.",Ventress,1909,Female,Black,mete
mèt,No,No,YC,"Aben, mo, mo <VERB>mèt</VERB> <DET>mo iskek</DET>, mo <VERB>mèt</VERB> <DET>mo dolo</DET>, mo <VERB>mèt</VERB> <DET>mo disel</DET>, e la mo <VERB>pran</VERB> <DET>mo farin</DET> mo, mo fe li vini di e mo farin.",Ventress,1909,Female,Black,mete
pran,Yes,No,YC,"Aben, mo, mo <VERB>mèt</VERB> <DET>mo iskek</DET>, mo <VERB>mèt</VERB> <DET>mo dolo</DET>, mo <VERB>mèt</VERB> <DET>mo disel</DET>, e la mo <VERB>pran</VERB> <DET>mo farin</DET> mo, mo fe li vini di e mo farin.",Ventress,1909,Female,Black,prann
pran,Yes,No,YC,To <VERB>pran</VERB> iskek e <VERB>mèt</VERB> li e <DET>to farin mai</DET> e <DET>to dolo</DET> to <VERB>ka</VERB> fe iskek.,Ventress,1909,Female,Black,prann
mèt,No,No,YC,To <VERB>pran</VERB> iskek e <VERB>mèt</VERB> li e <DET>to farin mai</DET> e <DET>to dolo</DET> to <VERB>ka</VERB> fe iskek.,Ventress,1909,Female,Black,mete
ka,Yes,Yes,YC,To <VERB>pran</VERB> iskek e <VERB>mèt</VERB> li e <DET>to farin mai</DET> e <DET>to dolo</DET> to <VERB>ka</VERB> fe iskek.,Ventress,1909,Female,Black,kapab
ka,Yes,Yes,YC,"E la li te, aben, par marye, aben nou marye, aben mo di li, 'To pa <VERB>ka</VERB> rèste konm sa.'",Ventress,1909,Female,Black,kapab
gen,No,Yes,YC,"Dan le--- dan legliz kan nou <VERB>gen</VERB>, kan nou <VERB>gen</VERB> <DET>nou lames</DET>, mon sen en gro, (SHOUT FOR JOY) osi.",Ventress,1909,Female,Black,gen
mont,Yes,No,YC,"Mo, mo <VERB>mont</VERB> on planche-le e mo <VERB>SHOUT</VERB>.",Ventress,1909,Female,Black,monte
SHOUT,NA,No,YC,"Mo, mo <VERB>mont</VERB> on planche-le e mo <VERB>SHOUT</VERB>.",Ventress,1909,Female,Black,SHOUT
ka,Yes,Yes,YC,E mo <VERB>ka</VERB> SHOUT osi.,Ventress,1909,Female,Black,kapab
tanm,Yes,No,JL,"Se kan to, se kan to po--- to <VERB>tanm</VERB> malad.",Ventress,1913,Female,Black,tanmbe
mouri,No,No,YC,E ka to <VERB>mouri</VERB>.,Ventress,1909,Female,Black,mouri
mouri,No,No,JL,"E kan to <VERB>mouri</VERB>, e <DET>to lasosyete</DET> se li ki, k <VERB>antær</VERB> twa, la, li <VERB>gen</VERB> larjan pou antère twa.",Ventress,1913,Female,Black,mouri
gen,No,Yes,JL,"Wè, nou stil <VERB>gen</VERB> la sosyète.",Ventress,1913,Female,Black,gen
gen,No,Yes,JL,Nou stil <VERB>gen</VERB> plen la sosyete.,Ventress,1913,Female,Black,gen
gen,No,Yes,JL,"Nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> SONS AND DAUGHTER, nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> YOUNG MAN.",Ventress,1913,Female,Black,gen
pel,Yes,No,JL,"Nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> SONS AND DAUGHTER, nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> YOUNG MAN.",Ventress,1913,Female,Black,pele
gen,No,Yes,JL,"Nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> SONS AND DAUGHTER, nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> YOUNG MAN.",Ventress,1913,Female,Black,gen
pel,Yes,No,JL,"Nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> SONS AND DAUGHTER, nou <VERB>gen</VERB> enn ki <VERB>pel</VERB> YOUNG MAN.",Ventress,1913,Female,Black,pele
gen,No,Yes,JL,"E nou <VERB>gen</VERB> enn to <VERB>pel</VERB> YOUNG VIDALIA, e nou <VERB>gen</VERB> enn to <VERB>pel</VERB>, uh---",Ventress,1913,Female,Black,gen
pel,Yes,No,JL,"E nou <VERB>gen</VERB> enn to <VERB>pel</VERB> YOUNG VIDALIA, e nou <VERB>gen</VERB> enn to <VERB>pel</VERB>, uh---",Ventress,1913,Female,Black,pele
gen,No,Yes,JL,"E nou <VERB>gen</VERB> enn to <VERB>pel</VERB> YOUNG VIDALIA, e nou <VERB>gen</VERB> enn to <VERB>pel</VERB>, uh---",Ventress,1913,Female,Black,gen
pel,Yes,No,JL,"E nou <VERB>gen</VERB> enn to <VERB>pel</VERB> YOUNG VIDALIA, e nou <VERB>gen</VERB> enn to <VERB>pel</VERB>, uh---",Ventress,1913,Female,Black,pele
dòn,Yes,No,JL,Ye <VERB>dòn</VERB> ye doktè e medikòmon.,Ventress,1913,Female,Black,donne
gen,No,Yes,JL,"Aben mo pa konnen, ina, m pa konnen, uh, bokou blan ki <VERB>gen</VERB> sa.",Ventress,1913,Female,Black,gen
gen,No,Yes,JL,"Se jus zafèr nwar <VERB>gen</VERB>, uhuh, wè.",Ventress,1913,Female,Black,gen
gen,No,Yes,JL,"Paske ye <VERB>gen</VERB> la, blan-ye <VERB>gen</VERB> lasirons.",Ventress,1913,Female,Black,gen
gen,No,Yes,JL,"Paske ye <VERB>gen</VERB> la, blan-ye <VERB>gen</VERB> lasirons.",Ventress,1913,Female,Black,gen
gen,No,Yes,JL,Ye <VERB>gen</VERB> lasirons.,Ventress,1913,Female,Black,gen
kwa,Yes,Yes,YC,Mo <VERB>kwa</VERB> sè te tro du.,Ventress,1909,Female,Black,krwaye
pel,Yes,No,JL,Sa ye <VERB>pel</VERB> en kolòm.,Ventress,1913,Female,Black,pele
