Verb,Speaker,Sentence,Origin,BirthYear,Gender,Race
gen,GL,"Ye <VERB>gen</VERB> tòti kawenn-ye.",Ventress,1917,Female,Black
sò,GL,"Sa <VERB>sò</VERB> on Vil, sa.",Ventress,1917,Female,Black
gen,GL,"Ye <VERB>gen</VERB> de gro latet, ye move, ou!",Ventress,1917,Female,Black
trape,GL,"To gen konnen kòman se to <VERB>trape</VERB> toti-sa-ye.",Ventress,1917,Female,Black
onbet,GL,"Me mo mo <VERB>onbet</VERB> pa avek ye, wè.",Ventress,1917,Female,Black
anbet,GL,"Mo <VERB>anbet</VERB> pa e ye, aryen.",Ventress,1917,Female,Black
ole,GL,"E li te konnen fe bon lenj, ka to te--- men to konnen, mounn ti konnen koud, ye p <VERB>ole</VERB> koud.",Ventress,1917,Female,Black
ole,GL,"Mounn ti konnen koud, ye p <VERB>ole</VERB> koud.",Ventress,1917,Female,Black
ole,GL,"Ye p <VERB>ole</VERB> koud.",Ventress,1917,Female,Black
gen,GL,"Mo <VERB>gen</VERB> tou <DET>mo bout-ye</DET> tou koupe.",Ventress,1917,Female,Black
koupe,GL,"To <VERB>koupe</VERB> moso-ye kòm t <VERB>ole</VERB>.",Ventress,1917,Female,Black
ole,GL,"To <VERB>koupe</VERB> moso-ye kòm t <VERB>ole</VERB>.",Ventress,1917,Female,Black
ole,GL,"E to fe patron sa t <VERB>ole</VERB> fe.",Ventress,1917,Female,Black
pran,GL,"To <VERB>pran</VERB> to en de avet en negwiy ... e <DET>vou difil</DET>. ...",Ventress,1917,Female,Black
peche,GL,"Te pa tou-mounn trava--- sèrv de, men sa a peche to pike <DET>to lamen</DET>, <DET>to dwa</DET>, to konnen, sa <VERB>peche</VERB> to pike <DET>to dwa</DET>.",Ventress,1917,Female,Black
