Verb,Short,Stative,Speaker,Sentence,Origin,BirthYear,Gender,Race,Citation
lès,Yes,Yes,GL,"Na ka sa tou byen s--- DOWN konm t <VERB>ole</VERB> li, la to <VERB>met</VERB> to lò zafè, <VERB>met</VERB> <DET>to dolo</DET> <VERB>lès</VERB> li boui, ichka to konnen <DET>to lavyonn</DET> o WHATEVER to (gon) ondon la TENDER.",Ventress,1917,Female,Black,lese
met,No,No,GL,"Men si ten en mete konm, t en mete SEAFOOD, te en fe twè en SEAFOOD GUMBO, tonn ichka to prechke pare pou TURN <DET>to GUMBO</DET> OFF ovan to <VERB>met</VERB> <DET>to chevret</DET> andan, pase to konnen t a kwi ye a fe ye tro di.",Ventress,1917,Female,Black,mete
met,No,No,GL,Èna mounn ti <VERB>met</VERB> OYSTERS anndan la osi.,Ventress,1917,Female,Black,mete
jonni,NA,No,GL,"To wa en rou, tou la to fe se farin e to <VERB>jonni</VERB> li.",Ventress,1917,Female,Black,jonni
jonni,NA,No,GL,"Farin-la, to <VERB>jonni</VERB> farin-la.",Ventress,1917,Female,Black,jonni
jonni,NA,No,GL,To <VERB>jonni</VERB> li (kòl) en kote.,Ventress,1917,Female,Black,jonni
ole,No,Yes,GL,"Inan mounn ti lenm--- to fe en, konm to fe to en, en bon GRAVY, to fe sa t <VERB>ole</VERB>, mounn ti fe sa jonn, jonn jonn, mè pa tou-mounn <VERB>lenm</VERB> ki-chò tro nwar, to konnen.",Ventress,1917,Female,Black,ole
met,No,No,GL,"Mo met farin-la, to <VERB>met</VERB> farin--- na ènon mounn ti konnen fe rou, ye a pran y en ti bren lagres.",Ventress,1917,Female,Black,mete
met,No,No,GL,"OF COURSE ka to fe li ondan, ondan STOVE, to <VERB>met</VERB> li dan STOVE (...) to pa e, to pa, to bèzwonn gete li AS OFTEN ke si to en fe li anho STOVE-la.",Ventress,1917,Female,Black,mete
pel,Yes,No,GL,Sa se sa to <VERB>pel</VERB> en rou sek.,Ventress,1917,Female,Black,pele
kwi,NA,No,GL,"Mè ki fe mo mo fe pa rou gra, ka to <VERB>kwi</VERB>, li tro gra.",Ventress,1917,Female,Black,kwi
met,No,No,GL,"To <VERB>met</VERB> ti bren rou, na ka t en fe OKRA GUMBO, pa met tro rou.",Ventress,1917,Female,Black,mete
fri,NA,No,GL,"Mè ka t en fe en lòt gonmbo, ich en PLAIN ganbo, ka t en fe en PLAIN ganmbo, s t en fe ten en ganbo ave poul, to <VERB>fri</VERB> <DET>to poul</DET>.",Ventress,1917,Female,Black,fri
fri,NA,No,GL,"Ka to <VERB>fri</VERB> <DET>to poul</DET>, to <VERB>kwi</VERB> <DET>to lasizannmon</DET>, to <VERB>met</VERB> <DET>to rou</DET> anndan-la, la to <VERB>met</VERB> <DET>to dolo</DET>, e to <VERB>les</VERB> li boui.",Ventress,1917,Female,Black,fri
kwi,NA,No,GL,"Ka to <VERB>fri</VERB> <DET>to poul</DET>, to <VERB>kwi</VERB> <DET>to lasizannmon</DET>, to <VERB>met</VERB> <DET>to rou</DET> anndan-la, la to <VERB>met</VERB> <DET>to dolo</DET>, e to <VERB>les</VERB> li boui.",Ventress,1917,Female,Black,kwi
met,No,No,GL,"Ka to <VERB>fri</VERB> <DET>to poul</DET>, to <VERB>kwi</VERB> <DET>to lasizannmon</DET>, to <VERB>met</VERB> <DET>to rou</DET> anndan-la, la to <VERB>met</VERB> <DET>to dolo</DET>, e to <VERB>les</VERB> li boui.",Ventress,1917,Female,Black,mete
met,No,No,GL,"Ka to <VERB>fri</VERB> <DET>to poul</DET>, to <VERB>kwi</VERB> <DET>to lasizannmon</DET>, to <VERB>met</VERB> <DET>to rou</DET> anndan-la, la to <VERB>met</VERB> <DET>to dolo</DET>, e to <VERB>les</VERB> li boui.",Ventress,1917,Female,Black,mete
les,Yes,Yes,GL,"Ka to <VERB>fri</VERB> <DET>to poul</DET>, to <VERB>kwi</VERB> <DET>to lasizannmon</DET>, to <VERB>met</VERB> <DET>to rou</DET> anndan-la, la to <VERB>met</VERB> <DET>to dolo</DET>, e to <VERB>les</VERB> li boui.",Ventress,1917,Female,Black,lese
manj,Yes,No,GL,"Mo pè tòrti, mo mo <VERB>manj</VERB> pa toti mo pen en kwi toti.",Ventress,1917,Female,Black,manje
lenm,Yes,Yes,GL,Mo <VERB>lenm</VERB> pa torti.,Ventress,1917,Female,Black,lenme
monj,Yes,No,GL,"O non, mo <VERB>monj</VERB> pa tòti.",Ventress,1917,Female,Black,manje
monj,Yes,No,GL,Mo <VERB>monj</VERB> pa tòti.,Ventress,1917,Female,Black,manje
kwi,NA,No,GL,"Mo <VERB>kwi</VERB> pa li, mo <VERB>monj</VERB> pa li, mè to <VERB>parle</VERB> san bon!",Ventress,1917,Female,Black,kwi
monj,Yes,No,GL,"Mo <VERB>kwi</VERB> pa li, mo <VERB>monj</VERB> pa li, mè to <VERB>parle</VERB> san bon!",Ventress,1917,Female,Black,manje
parle,No,No,GL,"Mo <VERB>kwi</VERB> pa li, mo <VERB>monj</VERB> pa li, mè to <VERB>parle</VERB> san bon!",Ventress,1917,Female,Black,parle
gen,No,Yes,GL,Se en lavyonn ti san bon ka to <VERB>gen</VERB> li byen sizonnen.,Ventress,1917,Female,Black,gen
manj,Yes,No,GL,Ye <VERB>manj</VERB> tou kalte ti tòrti-ye.,Ventress,1917,Female,Black,manje
gen,No,Yes,GL,Ye <VERB>gen</VERB> tòti kawenn-ye.,Ventress,1917,Female,Black,gen
sò,Yes,No,GL,"Sa <VERB>sò</VERB> on Vil, sa.",Ventress,1917,Female,Black,sorti
gen,No,Yes,GL,"Ye <VERB>gen</VERB> de gro latet, ye move, ou!",Ventress,1917,Female,Black,gen
trape,No,No,GL,To gen konnen kòman se to <VERB>trape</VERB> toti-sa-ye.,Ventress,1917,Female,Black,trape
onbet,Yes,No,GL,"Me mo mo <VERB>onbet</VERB> pa avek ye, wè.",Ventress,1917,Female,Black,anbete
anbet,Yes,No,GL,"Mo <VERB>anbet</VERB> pa e ye, aryen.",Ventress,1917,Female,Black,anbete
ole,No,Yes,GL,"E li te konnen fe bon lenj, ka to te--- men to konnen, mounn ti konnen koud, ye p <VERB>ole</VERB> koud.",Ventress,1917,Female,Black,ole
ole,No,Yes,GL,"Mounn ti konnen koud, ye p <VERB>ole</VERB> koud.",Ventress,1917,Female,Black,ole
ole,No,Yes,GL,Ye p <VERB>ole</VERB> koud.,Ventress,1917,Female,Black,ole
gen,No,Yes,GL,Mo <VERB>gen</VERB> tou <DET>mo bout-ye</DET> tou koupe.,Ventress,1917,Female,Black,gen
koupe,No,No,GL,To <VERB>koupe</VERB> moso-ye kòm t <VERB>ole</VERB>.,Ventress,1917,Female,Black,koupe
ole,No,Yes,GL,To <VERB>koupe</VERB> moso-ye kòm t <VERB>ole</VERB>.,Ventress,1917,Female,Black,ole
ole,No,Yes,GL,E to fe patron sa t <VERB>ole</VERB> fe.,Ventress,1917,Female,Black,ole
pran,Yes,No,GL,To <VERB>pran</VERB> to en de avet en negwiy ... e <DET>vou difil</DET>. ...,Ventress,1917,Female,Black,prann
peche,No,No,GL,"Te pa tou-mounn trava--- sèrv de, men sa a peche to pike <DET>to lamen</DET>, <DET>to dwa</DET>, to konnen, sa <VERB>peche</VERB> to pike <DET>to dwa</DET>.",Ventress,1917,Female,Black,peche
